"genre"	"macroGenre"	"trackId"	"sourcePath"	"expectedFilePath"	"audioExists"	"license"	"licenseUrl"	"referenceUrl"	"canonicalArtist"	"canonicalTitle"	"tags"
"クラシック音楽"	"classical"	"track_0000382"	"82/382.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/82/382.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/382"	"Les Petits Chanteurs de Montigny"	"Soon and Very Soon (Negro Spiritual)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000383"	"83/383.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/83/383.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/383"	"Les Petits Chanteurs de Montigny"	"Go tell it on the mountain (Negro Spiritual)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000384"	"84/384.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/84/384.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/384"	"Les Petits Chanteurs de Montigny"	"Let us break bread (Negro Spiritual)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000385"	"85/385.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/85/385.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/385"	"Les Petits Chanteurs de Montigny"	"Ave Maria (Sylvain Zimmer)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000386"	"86/386.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/86/386.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/386"	"Les Petits Chanteurs de Montigny"	"Cantate Domino (Johann Crüger)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000387"	"87/387.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/87/387.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/387"	"Les Petits Chanteurs de Montigny"	"Cantique de Jean Racine (Gabriel Fauré)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000388"	"88/388.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/88/388.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/388"	"Les Petits Chanteurs de Montigny"	"Jubilemus Exultemus (François Couperin)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0000389"	"89/389.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/89/389.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/2.0/"	"http://www.jamendo.com/track/389"	"Les Petits Chanteurs de Montigny"	"Nocturnes (W.A. Mozart)"	"genre---classical"
"クラシック音楽"	"classical"	"track_0001268"	"68/1268.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/68/1268.low.mp3"	"true"	"CC-BY-NC-SA"	"http://creativecommons.org/licenses/by-nc-sa/2.5/"	"http://www.jamendo.com/track/1268"	"Talking Cure"	"Interlude"	"genre---classical"
"クラシック音楽"	"classical"	"track_0002172"	"72/2172.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/72/2172.low.mp3"	"true"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/2.0/fr/"	"http://www.jamendo.com/track/2172"	"Greg Baumont"	"Les chevaliers de l'Aar"	"genre---classical"
"クラシック音楽"	"classical"	"track_0004888"	"88/4888.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/88/4888.low.mp3"	"true"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/2.5/"	"http://www.jamendo.com/track/4888"	"Tom La Meche"	"Souvenir"	"genre---classical"
"クラシック音楽"	"classical"	"track_0005089"	"89/5089.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/89/5089.low.mp3"	"true"	"CC-BY-NC-SA"	"http://creativecommons.org/licenses/by-nc-sa/2.5/"	"http://www.jamendo.com/track/5089"	"Tom La Meche"	"Gros Papa noël"	"genre---classical"
"クラシック音楽"	"classical"	"track_0006011"	"11/6011.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/11/6011.low.mp3"	"true"	"CC-BY"	"http://creativecommons.org/licenses/by/2.0/fr/"	"http://www.jamendo.com/track/6011"	"ZAMALA"	"Valse"	"genre---classical"
"クラシック音楽"	"classical"	"track_0006248"	"48/6248.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/48/6248.low.mp3"	"true"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/2.0/fr/"	"http://www.jamendo.com/track/6248"	"Xcyril"	"La serenite"	"genre---classical"
"クラシック音楽"	"classical"	"track_0006727"	"27/6727.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/27/6727.low.mp3"	"true"	"CC-BY-NC-SA"	"http://creativecommons.org/licenses/by-nc-sa/2.5/"	"http://www.jamendo.com/track/6727"	"Steven Dunston"	"Resignation"	"genre---classical"
"クラシック音楽"	"classical"	"track_0007258"	"58/7258.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/58/7258.low.mp3"	"true"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/3.0/"	"http://www.jamendo.com/track/7258"	"FrenchLAB (French Laboratory Of)"	"Reviens-moi"	"genre---classical"
"クラシック音楽"	"classical"	"track_0008562"	"62/8562.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/62/8562.low.mp3"	"true"	"CC-BY-NC-SA"	"http://creativecommons.org/licenses/by-nc-sa/2.5/"	"http://www.jamendo.com/track/8562"	"Manu Cornet"	"Place d'Italie"	"genre---classical"
"クラシック音楽"	"classical"	"track_0009600"	"00/9600.mp3"	"/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/mtg-jamendo/raw_30s/audio-low/00/9600.low.mp3"	"true"	"CC-BY-NC-SA"	"http://creativecommons.org/licenses/by-nc-sa/2.5/"	"http://www.jamendo.com/track/9600"	"Talking Cure"	"Improvisation sur les grandes orgues de Shlosshundhoffen"	"genre---classical"
