reviewStatus	reviewNote	genre	confidence	formalEligible	source	license	title	artist	album	labelEvidence	safetyFlags	audioExists	filePath	candidateAudioUrl	referenceUrl	trackId
		アニメソング	exact	false	FMA	CC-BY-NC-SA	Anime Theme	The Antti Jädertpolm Quartet	Anime EP	アニメソング explicit wording in title/album/tag/genre/subject		false			https://freemusicarchive.org/track/81832	81832
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	The Living Night Lights	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48553	48553
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Inside (Reprise)	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48554	48554
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	We Need Cranes, Not Skyhooks	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48555	48555
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	False Hope	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48556	48556
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	You've Only Yourself To Blame For Your Tragic Loss In Faith	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48557	48557
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	You Are Lost	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48558	48558
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	The Well and Truly Lost	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48559	48559
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Inside (Leaving)	Edward Shallow	Utter Mess	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/48560	48560
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Chalkboard Scrawls	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60184	60184
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Amongst The Hippo Plants	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60185	60185
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	The Last Anthill	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60186	60186
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	The Midnight Shore	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60187	60187
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Regular Sky Ghosts	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60188	60188
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Omniverse Gardening	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60189	60189
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Storefront Skeleton	Edward Shallow	Monsters	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/60190	60190
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Avalanche	Edward Shallow	World Head Law	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/72228	72228
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Hangnail	Edward Shallow	World Head Law	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/72229	72229
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Orka	Edward Shallow	World Head Law	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/72230	72230
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	Emerald Witches	Edward Shallow	World Head Law	アニメソング adjacent wording only; do not formal-promote without manual approval		false			https://freemusicarchive.org/track/72231	72231
		アニメソング	adjacent	false	FMA	CC-BY-NC-SA	This Tiger of Mine	Edward Shallow	World Head Law	アニメソング adjacent wording only; do not formal-promote without manual approval		true	/Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/fma/fma_small/072/072232.mp3	file:///Volumes/20251005_12TBskyhawk/MUSICTee-cache/external-data/fma/fma_small/072/072232.mp3	https://freemusicarchive.org/track/72232	72232
